"","variable","expected_gain","EVPI_do","EVPI_dont"
"discount_rate","discount_rate",32820.1622785429,0,32820.1622785429
"production_area","production_area",NA,0,0
"infection_risk","infection_risk",29585.34153343,0,29585.34153343
"plants_per_ha","plants_per_ha",32681.6756804371,0.118769026257359,32681.7944494633
"fungus_probability_N","fungus_probability_N",32712.0145321906,0,32712.0145321906
"fungus_probability_R","fungus_probability_R",32413.3808461389,0,32413.3808461389
"disease_expansion_factor_N","disease_expansion_factor_N",31681.1783218605,0,31681.1783218605
"disease_expansion_factor_R","disease_expansion_factor_R",31804.999013865,0,31804.999013865
"detection_factor_N","detection_factor_N",32368.7074083366,0,32368.7074083366
"detection_factor_R","detection_factor_R",32262.4028253694,0,32262.4028253694
"fungus_fight_effect_N","fungus_fight_effect_N",31653.034254324,0,31653.034254324
"fungus_fight_effect_R","fungus_fight_effect_R",31561.7784648427,0,31561.7784648427
"var_CV","var_CV",32872.9970021986,0,32872.9970021986
"number_yearly_prophy_application_N","number_yearly_prophy_application_N",32853.5922937076,0,32853.5922937076
"number_yearly_prophy_application_R","number_yearly_prophy_application_R",32606.818831781,0,32606.818831781
"effect_no_prophy_application","effect_no_prophy_application",30874.0612156126,0,30874.0612156126
"effect_one_prophy_application","effect_one_prophy_application",32923.4763385426,0,32923.4763385426
"effect_two_prophy_application","effect_two_prophy_application",32905.8893116397,0,32905.8893116397
"effect_three_prophy_application","effect_three_prophy_application",32919.6714459451,0,32919.6714459451
"effect_four_prophy_application","effect_four_prophy_application",32831.1445237336,0,32831.1445237336
"effect_five_prophy_application","effect_five_prophy_application",32793.8715512434,0,32793.8715512434
"effect_six_prophy_application","effect_six_prophy_application",32915.1129041843,0,32915.1129041843
"effect_seven_prophy_application","effect_seven_prophy_application",32872.3477751626,0,32872.3477751626
"effect_eight_prophy_application","effect_eight_prophy_application",31983.8433705964,0,31983.8433705964
"value_of_saleable_Calluna","value_of_saleable_Calluna",32840.5486311778,4488.02468292363,37328.5733141015
"chance_higher_price_sustainable","chance_higher_price_sustainable",31527.9931269829,0,31527.9931269829
"price_premium_sustainable","price_premium_sustainable",32787.6337682779,0,32787.6337682779
"value_not_saleable_Calluna","value_not_saleable_Calluna",32784.4623004908,0,32784.4623004908
"value_sorted_out_Calluna","value_sorted_out_Calluna",28657.3575022873,0,28657.3575022873
"value_of_one_new_plant","value_of_one_new_plant",31396.2715317612,0.258617502261082,31396.5301492635
"fertilizer_adjustment","fertilizer_adjustment",31974.1717108007,0,31974.1717108007
"costs_normal_fertilizer","costs_normal_fertilizer",32073.6928653241,0,32073.6928653241
"costs_staff","costs_staff",32277.4198920895,1596.38533515013,33873.8052272397
"costs_more_staff","costs_more_staff",32781.2468169658,0,32781.2468169658
"threshold_big_area_more_staff","threshold_big_area_more_staff",32913.2791643126,587.978374154882,33501.2575384675
"costs_monitoring_per_ha_month","costs_monitoring_per_ha_month",32002.7340344851,0,32002.7340344851
"additional_costs_more_monitoring_per_ha","additional_costs_more_monitoring_per_ha",32749.2830131447,0,32749.2830131447
"yearly_costs_of_direct_fungus_fight_N","yearly_costs_of_direct_fungus_fight_N",32588.1809247967,0,32588.1809247967
"yearly_costs_of_direct_fungus_fight_R","yearly_costs_of_direct_fungus_fight_R",31964.2319699659,0,31964.2319699659
"cost_one_prophy_application","cost_one_prophy_application",32724.721895241,0,32724.721895241
"detection_factor_MP","detection_factor_MP",31658.2629447234,0,31658.2629447234
"fungus_fight_effect_MP","fungus_fight_effect_MP",31074.4384583286,0,31074.4384583286
"amount_of_samples_MP","amount_of_samples_MP",31918.4956845402,0,31918.4956845402
"costs_per_sample_MP","costs_per_sample_MP",32871.872329739,0,32871.872329739
"savings_due_to_MP","savings_due_to_MP",32804.2495943624,0,32804.2495943624
"costs_monitoring_plan_per_ha","costs_monitoring_plan_per_ha",32888.8995294612,0,32888.8995294612
