"","variable","expected_gain","EVPI_do","EVPI_dont"
"discount_rate","discount_rate",16271.0821956813,0,16271.0821956813
"production_area","production_area",NA,0,0
"infection_risk","infection_risk",13328.1073204826,0,13328.1073204826
"plants_per_ha","plants_per_ha",16158.6335428421,40.4660803367837,16199.0996231789
"fungus_probability_N","fungus_probability_N",16303.4898129255,0,16303.4898129255
"fungus_probability_R","fungus_probability_R",15844.9608181725,0,15844.9608181725
"disease_expansion_factor_N","disease_expansion_factor_N",15720.4070677095,0,15720.4070677095
"disease_expansion_factor_R","disease_expansion_factor_R",15844.7259140608,0,15844.7259140608
"detection_factor_N","detection_factor_N",16060.6582591492,0,16060.6582591492
"detection_factor_R","detection_factor_R",16096.2929165314,0,16096.2929165314
"fungus_fight_effect_N","fungus_fight_effect_N",15832.4260390858,0,15832.4260390858
"fungus_fight_effect_R","fungus_fight_effect_R",15705.8078292144,0,15705.8078292144
"var_CV","var_CV",16372.401645954,0,16372.401645954
"number_yearly_prophy_application_N","number_yearly_prophy_application_N",16363.3845569154,0,16363.3845569154
"number_yearly_prophy_application_R","number_yearly_prophy_application_R",16386.2853553914,195.084151910496,16581.3695073019
"effect_no_prophy_application","effect_no_prophy_application",15549.6362692655,0,15549.6362692655
"effect_one_prophy_application","effect_one_prophy_application",16304.0493157228,0,16304.0493157228
"effect_two_prophy_application","effect_two_prophy_application",16403.4206725847,0,16403.4206725847
"effect_three_prophy_application","effect_three_prophy_application",16373.0856795858,0,16373.0856795858
"effect_four_prophy_application","effect_four_prophy_application",16275.160692046,0,16275.160692046
"effect_five_prophy_application","effect_five_prophy_application",16307.8547804102,0,16307.8547804102
"effect_six_prophy_application","effect_six_prophy_application",16450.2321528565,0,16450.2321528565
"effect_seven_prophy_application","effect_seven_prophy_application",16385.2377790898,0,16385.2377790898
"effect_eight_prophy_application","effect_eight_prophy_application",15940.7981532025,0,15940.7981532025
"value_of_saleable_Calluna","value_of_saleable_Calluna",16365.2369976171,7000.58045933198,23365.8174569491
"chance_higher_price_sustainable","chance_higher_price_sustainable",15672.541329757,0,15672.541329757
"price_premium_sustainable","price_premium_sustainable",16251.9597477709,0,16251.9597477709
"value_not_saleable_Calluna","value_not_saleable_Calluna",16322.0382990075,0,16322.0382990075
"value_sorted_out_Calluna","value_sorted_out_Calluna",14224.5164425887,0,14224.5164425887
"value_of_one_new_plant","value_of_one_new_plant",15369.911282926,126.388009808775,15496.2992927348
"fertilizer_adjustment","fertilizer_adjustment",15859.0455744215,0,15859.0455744215
"costs_normal_fertilizer","costs_normal_fertilizer",15899.8281490091,0,15899.8281490091
"costs_staff","costs_staff",15901.6995848591,4739.60409468365,20641.3036795428
"costs_more_staff","costs_more_staff",16253.7172326919,0,16253.7172326919
"threshold_big_area_more_staff","threshold_big_area_more_staff",16396.951759252,1449.92335081554,17846.8751100676
"costs_monitoring_per_ha_month","costs_monitoring_per_ha_month",15975.6518373687,0,15975.6518373687
"additional_costs_more_monitoring_per_ha","additional_costs_more_monitoring_per_ha",16301.0746248173,0,16301.0746248173
"yearly_costs_of_direct_fungus_fight_N","yearly_costs_of_direct_fungus_fight_N",16230.9397592365,0,16230.9397592365
"yearly_costs_of_direct_fungus_fight_R","yearly_costs_of_direct_fungus_fight_R",15848.2612794858,0,15848.2612794858
"cost_one_prophy_application","cost_one_prophy_application",16359.5509758368,0,16359.5509758368
"detection_factor_MP","detection_factor_MP",15422.0058645846,0,15422.0058645846
"fungus_fight_effect_MP","fungus_fight_effect_MP",15547.4107903665,0,15547.4107903665
"amount_of_samples_MP","amount_of_samples_MP",15702.8473408485,0.0126307189785613,15702.8599715674
"costs_per_sample_MP","costs_per_sample_MP",16388.1501895819,0,16388.1501895819
"savings_due_to_MP","savings_due_to_MP",16275.5123797903,171.873999723514,16447.3863795138
"costs_monitoring_plan_per_ha","costs_monitoring_plan_per_ha",16353.3161266247,0.00235368226089028,16353.318480307
