"","variable","expected_gain","EVPI_do","EVPI_dont"
"discount_rate","discount_rate",29298.6007974632,0,29298.6007974632
"production_area","production_area",NA,0,0
"infection_risk","infection_risk",26551.9109675897,0,26551.9109675897
"plants_per_ha","plants_per_ha",29165.4133309772,1.183341449766,29166.5966724269
"fungus_probability_N","fungus_probability_N",29212.5673321616,0,29212.5673321616
"fungus_probability_R","fungus_probability_R",28962.8092469546,0,28962.8092469546
"disease_expansion_factor_N","disease_expansion_factor_N",28324.9583852475,0,28324.9583852475
"disease_expansion_factor_R","disease_expansion_factor_R",28419.7912310016,0,28419.7912310016
"detection_factor_N","detection_factor_N",28837.7809823704,0,28837.7809823704
"detection_factor_R","detection_factor_R",28797.2849931944,0,28797.2849931944
"fungus_fight_effect_N","fungus_fight_effect_N",28338.7394768135,0,28338.7394768135
"fungus_fight_effect_R","fungus_fight_effect_R",28163.991508469,0,28163.991508469
"var_CV","var_CV",29337.4140207841,0,29337.4140207841
"number_yearly_prophy_application_N","number_yearly_prophy_application_N",29238.5098233089,0,29238.5098233089
"number_yearly_prophy_application_R","number_yearly_prophy_application_R",29110.0785948122,0,29110.0785948122
"effect_no_prophy_application","effect_no_prophy_application",27594.8457628802,0,27594.8457628802
"effect_one_prophy_application","effect_one_prophy_application",29405.1221891045,0,29405.1221891045
"effect_two_prophy_application","effect_two_prophy_application",29373.7286826535,0,29373.7286826535
"effect_three_prophy_application","effect_three_prophy_application",29400.3983202654,0,29400.3983202654
"effect_four_prophy_application","effect_four_prophy_application",29356.3340116927,0,29356.3340116927
"effect_five_prophy_application","effect_five_prophy_application",29312.2514875926,0,29312.2514875926
"effect_six_prophy_application","effect_six_prophy_application",29453.4315234142,0,29453.4315234142
"effect_seven_prophy_application","effect_seven_prophy_application",29376.6269764394,0,29376.6269764394
"effect_eight_prophy_application","effect_eight_prophy_application",28557.3853709243,0,28557.3853709243
"value_of_saleable_Calluna","value_of_saleable_Calluna",29330.7207855996,5394.17040844212,34724.8911940417
"chance_higher_price_sustainable","chance_higher_price_sustainable",28154.0565010216,0,28154.0565010216
"price_premium_sustainable","price_premium_sustainable",29265.7371914752,0,29265.7371914752
"value_not_saleable_Calluna","value_not_saleable_Calluna",29286.9117370753,0,29286.9117370753
"value_sorted_out_Calluna","value_sorted_out_Calluna",25567.6389520974,0,25567.6389520974
"value_of_one_new_plant","value_of_one_new_plant",27967.3740314516,1.84905461878517,27969.2230860704
"fertilizer_adjustment","fertilizer_adjustment",28529.0538475479,0,28529.0538475479
"costs_normal_fertilizer","costs_normal_fertilizer",28585.1727781235,0,28585.1727781235
"costs_staff","costs_staff",28773.982193014,2107.32049448118,30881.3026874951
"costs_more_staff","costs_more_staff",29273.1197305634,0,29273.1197305634
"threshold_big_area_more_staff","threshold_big_area_more_staff",29327.1261733506,0,29327.1261733506
"costs_monitoring_per_ha_month","costs_monitoring_per_ha_month",28304.6121826568,0,28304.6121826568
"additional_costs_more_monitoring_per_ha","additional_costs_more_monitoring_per_ha",29224.5037341956,0,29224.5037341956
"yearly_costs_of_direct_fungus_fight_N","yearly_costs_of_direct_fungus_fight_N",29091.2096297521,0,29091.2096297521
"yearly_costs_of_direct_fungus_fight_R","yearly_costs_of_direct_fungus_fight_R",28515.6725247916,0,28515.6725247916
"cost_one_prophy_application","cost_one_prophy_application",29192.0056387008,0,29192.0056387008
"detection_factor_MP","detection_factor_MP",28262.8456288167,0,28262.8456288167
"fungus_fight_effect_MP","fungus_fight_effect_MP",27658.1341584805,0,27658.1341584805
"amount_of_samples_MP","amount_of_samples_MP",28569.7414218793,0,28569.7414218793
"costs_per_sample_MP","costs_per_sample_MP",29322.7564933699,0,29322.7564933699
"savings_due_to_MP","savings_due_to_MP",29322.6459417593,0,29322.6459417593
"costs_monitoring_plan_per_ha","costs_monitoring_plan_per_ha",29346.6131633695,0,29346.6131633695
