"","variable","expected_gain","EVPI_do","EVPI_dont"
"discount_rate","discount_rate",14158.8281728249,0,14158.8281728249
"production_area","production_area",NA,0,0
"infection_risk","infection_risk",11619.7276556756,0,11619.7276556756
"plants_per_ha","plants_per_ha",14029.5686159446,140.256144293767,14169.8247602384
"fungus_probability_N","fungus_probability_N",14194.9399088062,0,14194.9399088062
"fungus_probability_R","fungus_probability_R",13737.3465604615,0,13737.3465604615
"disease_expansion_factor_N","disease_expansion_factor_N",13787.4415661143,0,13787.4415661143
"disease_expansion_factor_R","disease_expansion_factor_R",13805.055142116,0,13805.055142116
"detection_factor_N","detection_factor_N",13960.8602191622,0,13960.8602191622
"detection_factor_R","detection_factor_R",13898.1657784499,0,13898.1657784499
"fungus_fight_effect_N","fungus_fight_effect_N",13773.3307617911,0,13773.3307617911
"fungus_fight_effect_R","fungus_fight_effect_R",13683.4890751804,0,13683.4890751804
"var_CV","var_CV",14246.5770729021,0,14246.5770729021
"number_yearly_prophy_application_N","number_yearly_prophy_application_N",14277.4080114089,0,14277.4080114089
"number_yearly_prophy_application_R","number_yearly_prophy_application_R",14236.2913654708,78.2718171489382,14314.5631826197
"effect_no_prophy_application","effect_no_prophy_application",13562.732173988,0,13562.732173988
"effect_one_prophy_application","effect_one_prophy_application",14215.4495058538,0,14215.4495058538
"effect_two_prophy_application","effect_two_prophy_application",14304.0061757707,0,14304.0061757707
"effect_three_prophy_application","effect_three_prophy_application",14293.4406571939,0,14293.4406571939
"effect_four_prophy_application","effect_four_prophy_application",14219.5050020303,0,14219.5050020303
"effect_five_prophy_application","effect_five_prophy_application",14228.8705599194,0,14228.8705599194
"effect_six_prophy_application","effect_six_prophy_application",14323.6459275786,0,14323.6459275786
"effect_seven_prophy_application","effect_seven_prophy_application",14276.9605728326,0,14276.9605728326
"effect_eight_prophy_application","effect_eight_prophy_application",13896.5085362969,0,13896.5085362969
"value_of_saleable_Calluna","value_of_saleable_Calluna",14228.356678273,7793.85848679191,22022.2151650649
"chance_higher_price_sustainable","chance_higher_price_sustainable",13655.16469381,0,13655.16469381
"price_premium_sustainable","price_premium_sustainable",14212.4992057025,0,14212.4992057025
"value_not_saleable_Calluna","value_not_saleable_Calluna",14249.1654058327,0,14249.1654058327
"value_sorted_out_Calluna","value_sorted_out_Calluna",12353.7131296075,0,12353.7131296075
"value_of_one_new_plant","value_of_one_new_plant",13334.4873701948,194.244927819597,13528.7322980144
"fertilizer_adjustment","fertilizer_adjustment",13824.905725444,0,13824.905725444
"costs_normal_fertilizer","costs_normal_fertilizer",13817.4914188762,0,13817.4914188762
"costs_staff","costs_staff",13735.2389269012,5444.90544876386,19180.144375665
"costs_more_staff","costs_more_staff",14194.4242132955,0,14194.4242132955
"threshold_big_area_more_staff","threshold_big_area_more_staff",14296.968546585,1532.02524412934,15828.9937907144
"costs_monitoring_per_ha_month","costs_monitoring_per_ha_month",13866.158314199,0,13866.158314199
"additional_costs_more_monitoring_per_ha","additional_costs_more_monitoring_per_ha",14160.5546860224,0,14160.5546860224
"yearly_costs_of_direct_fungus_fight_N","yearly_costs_of_direct_fungus_fight_N",14112.4907107392,0,14112.4907107392
"yearly_costs_of_direct_fungus_fight_R","yearly_costs_of_direct_fungus_fight_R",13780.1221625589,0,13780.1221625589
"cost_one_prophy_application","cost_one_prophy_application",14227.2300301335,0,14227.2300301335
"detection_factor_MP","detection_factor_MP",13691.8637349826,0,13691.8637349826
"fungus_fight_effect_MP","fungus_fight_effect_MP",13425.6106760688,0,13425.6106760688
"amount_of_samples_MP","amount_of_samples_MP",13886.6440758447,0,13886.6440758447
"costs_per_sample_MP","costs_per_sample_MP",14256.8339365268,0,14256.8339365268
"savings_due_to_MP","savings_due_to_MP",14190.8067865803,0,14190.8067865803
"costs_monitoring_plan_per_ha","costs_monitoring_plan_per_ha",14246.3817883611,0,14246.3817883611
