"","variable","expected_gain","EVPI_do","EVPI_dont"
"discount_rate","discount_rate",3521.52372903458,0,3521.52372903458
"production_area","production_area",NA,0,0
"infection_risk","infection_risk",3103.29994140156,0,3103.29994140156
"plants_per_ha","plants_per_ha",3516.08730604722,0,3516.08730604722
"fungus_probability_N","fungus_probability_N",3506.51223651323,0,3506.51223651323
"fungus_probability_R","fungus_probability_R",3498.62607238477,0,3498.62607238477
"disease_expansion_factor_N","disease_expansion_factor_N",3399.72903423418,0,3399.72903423418
"disease_expansion_factor_R","disease_expansion_factor_R",3385.83160731984,0,3385.83160731984
"detection_factor_N","detection_factor_N",3530.37098324094,0,3530.37098324094
"detection_factor_R","detection_factor_R",3465.22356233053,0,3465.22356233053
"fungus_fight_effect_N","fungus_fight_effect_N",3335.6930860712,0,3335.6930860712
"fungus_fight_effect_R","fungus_fight_effect_R",3381.64611768649,0,3381.64611768649
"var_CV","var_CV",3535.58298141461,0,3535.58298141461
"number_yearly_prophy_application_N","number_yearly_prophy_application_N",3513.16396363353,116.961323827914,3630.12528746144
"number_yearly_prophy_application_R","number_yearly_prophy_application_R",3520.0278486602,0,3520.0278486602
"effect_no_prophy_application","effect_no_prophy_application",3292.81552231944,0,3292.81552231944
"effect_one_prophy_application","effect_one_prophy_application",3522.71415318006,0,3522.71415318006
"effect_two_prophy_application","effect_two_prophy_application",3522.23088815006,0,3522.23088815006
"effect_three_prophy_application","effect_three_prophy_application",3519.27312567972,0,3519.27312567972
"effect_four_prophy_application","effect_four_prophy_application",3474.71508720989,0,3474.71508720989
"effect_five_prophy_application","effect_five_prophy_application",3478.90559801314,0,3478.90559801314
"effect_six_prophy_application","effect_six_prophy_application",3461.8870321734,0,3461.8870321734
"effect_seven_prophy_application","effect_seven_prophy_application",3495.99065709985,0,3495.99065709985
"effect_eight_prophy_application","effect_eight_prophy_application",3445.97736865445,0,3445.97736865445
"value_of_saleable_Calluna","value_of_saleable_Calluna",3509.82784557819,0,3509.82784557819
"chance_higher_price_sustainable","chance_higher_price_sustainable",3402.28919931379,0,3402.28919931379
"price_premium_sustainable","price_premium_sustainable",3519.42199023412,0,3519.42199023412
"value_not_saleable_Calluna","value_not_saleable_Calluna",3497.55056341551,0,3497.55056341551
"value_sorted_out_Calluna","value_sorted_out_Calluna",3056.7214188812,0,3056.7214188812
"value_of_one_new_plant","value_of_one_new_plant",3428.89750030967,0,3428.89750030967
"fertilizer_adjustment","fertilizer_adjustment",3428.20179752424,0,3428.20179752424
"costs_normal_fertilizer","costs_normal_fertilizer",3484.3281433993,0,3484.3281433993
"costs_staff","costs_staff",3514.26594726034,0,3514.26594726034
"costs_more_staff","costs_more_staff",3509.47244556085,0,3509.47244556085
"threshold_big_area_more_staff","threshold_big_area_more_staff",3571.77427451939,2346.95277690669,5918.72705142608
"costs_monitoring_per_ha_month","costs_monitoring_per_ha_month",3489.84441943442,0,3489.84441943442
"additional_costs_more_monitoring_per_ha","additional_costs_more_monitoring_per_ha",3524.78183150086,0,3524.78183150086
"yearly_costs_of_direct_fungus_fight_N","yearly_costs_of_direct_fungus_fight_N",3494.48654476906,0,3494.48654476906
"yearly_costs_of_direct_fungus_fight_R","yearly_costs_of_direct_fungus_fight_R",3448.55944517435,0,3448.55944517435
"cost_one_prophy_application","cost_one_prophy_application",3532.60514684557,0,3532.60514684557
"detection_factor_MP","detection_factor_MP",3283.89260624406,0,3283.89260624406
"fungus_fight_effect_MP","fungus_fight_effect_MP",3351.66347403522,0,3351.66347403522
"amount_of_samples_MP","amount_of_samples_MP",3348.75426266091,0.0344476661714535,3348.78871032708
"costs_per_sample_MP","costs_per_sample_MP",3534.88204263454,0,3534.88204263454
"savings_due_to_MP","savings_due_to_MP",3489.45121885156,2207.50254768257,5696.95376653412
"costs_monitoring_plan_per_ha","costs_monitoring_plan_per_ha",3546.27277771768,655.050659701089,4201.32343741877
