"","thold","EVPI_do","EVPI_dont"
"costs_staff",90615.9699128367,14225.1446228845,12332.8031403253
"value_of_saleable_Calluna",0.721664939662147,9053.72424727089,29210.6664187489
"value_of_one_new_plant",0.26161793466312,8559.6557287225,31.3820365474936
"threshold_big_area_more_staff",1.26654352720538,3021.80525404526,12355.4505556519
"plants_per_ha",161457.125918139,450.238480218149,11795.1515249998
"number_yearly_prophy_application_R",0.994740486134611,21.9564376466013,15110.1190974389
"discount_rate",no relationship,0,0
"production_area",no variation,0,0
"infection_risk",NA,0,0
"fungus_probability_N",no relationship,0,0
"fungus_probability_R",NA,0,0
"disease_expansion_factor_N",no relationship,0,0
"disease_expansion_factor_R",no relationship,0,0
"detection_factor_N",no relationship,0,0
"detection_factor_R",NA,0,0
"fungus_fight_effect_N",NA,0,0
"fungus_fight_effect_R",NA,0,0
"var_CV",no relationship,0,0
"number_yearly_prophy_application_N",no relationship,0,0
"effect_no_prophy_application",NA,0,0
"effect_one_prophy_application",no relationship,0,0
"effect_two_prophy_application",no relationship,0,0
"effect_three_prophy_application",NA,0,0
"effect_four_prophy_application",no relationship,0,0
"effect_five_prophy_application",no relationship,0,0
"effect_six_prophy_application",no relationship,0,0
"effect_seven_prophy_application",no relationship,0,0
"effect_eight_prophy_application",no relationship,0,0
"chance_higher_price_sustainable",NA,0,0
"price_premium_sustainable",no relationship,0,0
"value_not_saleable_Calluna",no relationship,0,0
"value_sorted_out_Calluna",no relationship,0,0
"fertilizer_adjustment",no relationship,0,0
"costs_normal_fertilizer",NA,0,0
"costs_more_staff",no relationship,0,0
"costs_monitoring_per_ha_month",NA,0,0
"additional_costs_more_monitoring_per_ha",no relationship,0,0
"yearly_costs_of_direct_fungus_fight_N",no relationship,0,0
"yearly_costs_of_direct_fungus_fight_R",no relationship,0,0
"cost_one_prophy_application",no relationship,0,0
"detection_factor_MP",no relationship,0,0
"fungus_fight_effect_MP",no relationship,0,0
"amount_of_samples_MP",no relationship,0,0
"costs_per_sample_MP",no relationship,0,0
"savings_due_to_MP",no relationship,0,0
"costs_monitoring_plan_per_ha",no relationship,0,0
