"","variable","expected_gain","EVPI_do","EVPI_dont"
"discount_rate","discount_rate",-15137.7170001529,15137.7170001529,0
"production_area","production_area",NA,0,0
"infection_risk","infection_risk",-14924.4798443269,14959.1613847407,34.6815404138752
"plants_per_ha","plants_per_ha",-15133.60433116,15133.60433116,0
"fungus_probability_N","fungus_probability_N",-15060.2383943479,15060.2383943479,0
"fungus_probability_R","fungus_probability_R",-15110.5164924874,15267.6988998008,157.182407313354
"disease_expansion_factor_N","disease_expansion_factor_N",-14591.1419359768,14591.1419359768,0
"disease_expansion_factor_R","disease_expansion_factor_R",-14604.452881795,14604.452881795,0
"detection_factor_N","detection_factor_N",-14877.5385862372,14877.5385862372,0
"detection_factor_R","detection_factor_R",-15005.8060345367,15005.8060345367,0
"fungus_fight_effect_N","fungus_fight_effect_N",-14513.6881225433,14513.6881225433,0
"fungus_fight_effect_R","fungus_fight_effect_R",-14294.0257208562,14294.0257208562,0
"var_CV","var_CV",-15090.6885084289,15090.6885084289,0
"number_yearly_prophy_application_N","number_yearly_prophy_application_N",-15028.5969233633,15028.5969233633,0
"number_yearly_prophy_application_R","number_yearly_prophy_application_R",-14923.1446041254,14928.9644207923,5.81981666697344
"effect_no_prophy_application","effect_no_prophy_application",-14036.0991847702,14036.0991847702,0
"effect_one_prophy_application","effect_one_prophy_application",-15128.3520329479,15128.3520329479,0
"effect_two_prophy_application","effect_two_prophy_application",-15069.8182789309,15069.8182789309,0
"effect_three_prophy_application","effect_three_prophy_application",-15135.8205792581,15135.8205792581,0
"effect_four_prophy_application","effect_four_prophy_application",-15136.8290096623,15136.8290096623,0
"effect_five_prophy_application","effect_five_prophy_application",-15083.2805887395,15083.2805887395,0
"effect_six_prophy_application","effect_six_prophy_application",-15130.0232623942,15130.0232623942,0
"effect_seven_prophy_application","effect_seven_prophy_application",-15099.3965452301,15099.3965452301,0
"effect_eight_prophy_application","effect_eight_prophy_application",-14660.9148586238,14660.9148586238,0
"value_of_saleable_Calluna","value_of_saleable_Calluna",-15102.2655137719,15105.9022846879,3.63677091597841
"chance_higher_price_sustainable","chance_higher_price_sustainable",-14498.8918072115,14498.8918072115,0
"price_premium_sustainable","price_premium_sustainable",-15110.0247231411,15110.0247231411,0
"value_not_saleable_Calluna","value_not_saleable_Calluna",-15037.7082368581,15037.7082368581,0
"value_sorted_out_Calluna","value_sorted_out_Calluna",-13232.4319036712,13232.4319036712,0
"value_of_one_new_plant","value_of_one_new_plant",-14669.6114643792,14669.6114643792,0
"fertilizer_adjustment","fertilizer_adjustment",-14670.6461526379,14670.6461526379,0
"costs_normal_fertilizer","costs_normal_fertilizer",-14815.0252960852,14815.0252960852,0
"costs_staff","costs_staff",-15045.2938725882,15045.2938725882,0
"costs_more_staff","costs_more_staff",-15070.1238174041,15070.1238174041,0
"threshold_big_area_more_staff","threshold_big_area_more_staff",-15043.189969159,15043.189969159,0
"costs_monitoring_per_ha_month","costs_monitoring_per_ha_month",-14667.9304384403,14667.9304384403,0
"additional_costs_more_monitoring_per_ha","additional_costs_more_monitoring_per_ha",-15065.8381717323,15065.8381717323,0
"yearly_costs_of_direct_fungus_fight_N","yearly_costs_of_direct_fungus_fight_N",-14951.9075476346,14951.9075476346,0
"yearly_costs_of_direct_fungus_fight_R","yearly_costs_of_direct_fungus_fight_R",-14735.5503622326,14735.5503622326,0
"cost_one_prophy_application","cost_one_prophy_application",-14981.5135040529,14981.5135040529,0
"detection_factor_MP","detection_factor_MP",-14537.3692062549,14537.3692062549,0
"fungus_fight_effect_MP","fungus_fight_effect_MP",-14273.9159428548,14273.9159428548,0
"amount_of_samples_MP","amount_of_samples_MP",-14717.3977053067,14717.3977053067,0
"costs_per_sample_MP","costs_per_sample_MP",-15067.7143274404,15067.7143274404,0
"savings_due_to_MP","savings_due_to_MP",-15106.1070294768,15106.1070294768,0
"costs_monitoring_plan_per_ha","costs_monitoring_plan_per_ha",-15100.2313750085,15100.2313750085,0
