"","VIP","Coefficient"
"discount_rate",0.163776312964696,-9072.04399780093
"infection_risk",2.42607020420043,-134387.050458296
"plants_per_ha",0.132246885940705,7325.53777837737
"fungus_possibility_N",0.0185158463905867,1025.64632254321
"fungus_possibility_R",2.15600700339523,-119427.468113687
"disease_expansion_factor_N",0.0872222270263068,-4831.49160489044
"disease_expansion_factor_R",0.129804883172968,-7190.2681771107
"detection_factor_N",0.0570274571076981,-3158.91590547203
"detection_factor_R",0.0570203302281014,-3158.52112698363
"fungus_fight_effect_N",0.086836674774125,4810.13474972666
"fungus_fight_effect_R",0.0539173069998407,2986.63568919723
"var_CV",0.0561866094927067,-3112.33892238723
"number_yearly_prophy_application_N",5.47174703266793e-05,3.03095905180749
"number_yearly_prophy_application_R",2.19986275246204,121856.764987506
"effect_one_prophy_application",0.353117702808925,19560.2115977267
"effect_two_prophy_application",0.253686443485524,14052.4263569325
"effect_three_prophy_application",0.0125560500327608,-695.515952666187
"effect_four_prophy_application",0.0195844275944036,1084.8381282492
"effect_five_prophy_application",0.0156892446820958,-869.072672791941
"effect_six_prophy_application",0.0762673521982924,-4224.66938114449
"effect_seven_prophy_application",0.0441421114728437,-2445.15931631576
"effect_eight_prophy_application",0.00903009066907463,-500.202858221848
"value_of_saleable_Calluna",0.0265080537108583,1468.35781809801
"value_of_saleable_more_sustainable_Calluna",3.44536423074389,190848.696761759
"value_not_saleable_Calluna",0.00873686607044512,-483.960299015024
"value_sorted_out_Calluna",0.572032643402356,-31686.5437692642
"value_of_one_new_plant",0.727761866101899,-40312.836146344
"fertilizer_adjustment",0.0407130557368619,2255.21399428104
"costs_normal_fertilizer",0.186497697678776,-10330.647260298
"costs_water",0.222736769465306,-12338.0343343844
"costs_staff",0.519839188613347,-28795.397243422
"costs_more_staff",0.378764110718408,-20980.8403609993
"threshold_big_area_more_staff",0.0280539793968907,-1553.99111626634
"costs_monitoring_per_ha_month",0.0644634599565197,3570.81762551395
"additional_costs_more_monitoring_per_ha",0.105933611609559,-5867.96935387742
"yearly_costs_of_direct_fungus_fight_N",0.231323867600916,12813.6985540111
"yearly_costs_of_direct_fungus_fight_R",0.066853440640968,-3703.2055730182
"cost_one_prophy_application",0.00247242503223282,136.954778549177
"detection_factor_MP",1.97375179397476,-109331.824557178
"fungus_fight_effect_MP",0.228276131455009,12644.8756277353
"amount_of_samples_MP",2.83649273140149,-157121.542138172
"costs_per_sample_MP",1.59118097881824,-88140.1198194929
"savings_due_to_MP",0.621249411073763,34412.8029801478
"costs_monitoring_plan_per_ha",0.355168268037321,-19673.7983407399
