"","VIP","Coefficient"
"discount_rate",0.0461444752267412,350.289452318605
"infection_risk",1.30674253799661,-9919.67349735928
"plants_per_ha",0.805657301953467,6115.86227107463
"fungus_probability_N",0.0236860702132751,-179.804419095007
"fungus_probability_R",1.11107884000833,-8434.36178300634
"disease_expansion_factor_N",0.0174655372244576,-132.583444469643
"disease_expansion_factor_R",0.0455408178976382,-345.707001349977
"detection_factor_N",0.0958279648734805,-727.44408008535
"detection_factor_R",0.144403458247526,1096.18774628788
"fungus_fight_effect_N",0.0118748421330248,90.1436613312399
"fungus_fight_effect_R",0.0462734558628318,351.268563168904
"var_CV",0.00182794369479481,-13.8761876166674
"number_yearly_prophy_application_N",0.0606283423559221,-460.238603526982
"number_yearly_prophy_application_R",1.00688475635247,7643.40927310542
"effect_no_prophy_application",0.202451709630712,1536.84050233624
"effect_one_prophy_application",0.159028164635673,1207.20602888514
"effect_two_prophy_application",0.12220618699314,927.685017576372
"effect_three_prophy_application",0.169673878176395,1288.01919551877
"effect_four_prophy_application",0.0106744159048276,-81.0310504724563
"effect_five_prophy_application",0.00597322836663432,-45.3436491116437
"effect_six_prophy_application",0.104490737206209,-793.204450337293
"effect_seven_prophy_application",0.0052884988185695,40.1457670856933
"effect_eight_prophy_application",0.108909822691305,-826.750373803041
"value_of_saleable_Calluna",4.55488294736164,34576.7818393574
"chance_higher_price_sustainable",0.255892361130661,1942.51629458403
"price_premium_sustainable",0.268819464464104,2040.64782440395
"value_not_saleable_Calluna",0.0162635965246049,123.459337035285
"value_sorted_out_Calluna",0.0337437051586391,-256.153395203644
"value_of_one_new_plant",1.30202523159963,-9883.86373538673
"fertilizer_adjustment",0.0546087694204214,414.543146022972
"costs_normal_fertilizer",0.388681428760833,-2950.53750504338
"costs_staff",3.69081982519433,-28017.5524550065
"costs_more_staff",0.111432565304131,-845.900881504027
"threshold_big_area_more_staff",0.698894615409339,5305.41112142253
"costs_monitoring_per_ha_month",0.0790830273376206,-600.330813118421
"additional_costs_more_monitoring_per_ha",0.0670754359601687,509.179432880473
"yearly_costs_of_direct_fungus_fight_N",0.00627585061608502,47.6408988148559
"yearly_costs_of_direct_fungus_fight_R",0.143792097034824,-1091.54681401346
"cost_one_prophy_application",0.0864134234402698,-655.976920771789
"detection_factor_MP",0.99583058270058,-7559.49542609931
"fungus_fight_effect_MP",0.293920392774684,2231.19263800076
"amount_of_samples_MP",0.480691783491097,-3649.00154884784
"costs_per_sample_MP",0.278964217620029,-2117.65812757535
"savings_due_to_MP",1.22655313342002,9310.94401299816
"costs_monitoring_plan_per_ha",0.657440470064422,-4990.72664840914
