"","VIP","Coefficient"
"discount_rate",0.0252148233257175,191.921794632265
"infection_risk",0.193947155450063,-1476.22236558899
"plants_per_ha",0.971968083315883,7398.10295180642
"fungus_probability_N",0.229531778608278,-1747.0735490225
"fungus_probability_R",0.0274567838321696,208.986402951535
"disease_expansion_factor_N",0.0440790092450246,335.505922474142
"disease_expansion_factor_R",0.0531464243251215,-404.522252763989
"detection_factor_N",0.275979695384249,-2100.61033289845
"detection_factor_R",0.12767871792209,971.822342889923
"fungus_fight_effect_N",0.14796076831451,1126.19849932189
"fungus_fight_effect_R",0.0689010518233181,524.438079425078
"var_CV",0.0473596007422822,-360.476036262996
"number_yearly_prophy_application_N",0.236196282475437,1797.80020000856
"number_yearly_prophy_application_R",0.0886616098977776,-674.844914309275
"effect_no_prophy_application",0.00716489772782478,54.5353823232329
"effect_one_prophy_application",0.0579587334949418,441.150985008772
"effect_two_prophy_application",0.0785753903464716,598.073987448672
"effect_three_prophy_application",0.0901894260531262,686.473836495837
"effect_four_prophy_application",0.0123596181477752,-94.0748251633063
"effect_five_prophy_application",0.0344718654240597,-262.381464706108
"effect_six_prophy_application",0.0517821917375287,-394.138441498511
"effect_seven_prophy_application",0.0299875187480226,228.249008146697
"effect_eight_prophy_application",0.010013731163552,76.2191838922695
"value_of_saleable_Calluna",5.30551286749197,40382.7358938936
"chance_higher_price_sustainable",0.0142301498440366,108.312315366019
"price_premium_sustainable",0.05520119825219,420.162096619026
"value_not_saleable_Calluna",0.00312899627677854,-23.8162517769665
"value_sorted_out_Calluna",0.0438421859778382,-333.703350000721
"value_of_one_new_plant",1.27377545853735,-9695.29981642531
"fertilizer_adjustment",0.0233816771664172,177.968863208894
"costs_normal_fertilizer",0.420843660136471,-3203.23761422605
"costs_staff",3.69541919556386,-28127.5611083806
"costs_more_staff",0.00479985824560844,-36.53396244653
"threshold_big_area_more_staff",0.119103026541162,-906.548751289488
"costs_monitoring_per_ha_month",0.199614470872799,-1519.35894967797
"additional_costs_more_monitoring_per_ha",0.117860563868645,897.091787709265
"yearly_costs_of_direct_fungus_fight_N",0.115336904004182,-877.883034033993
"yearly_costs_of_direct_fungus_fight_R",0.0631433870865666,-480.613804517659
"cost_one_prophy_application",0.186966136834189,-1423.0865730509
"detection_factor_MP",0.0848276379352077,-645.662763392686
"fungus_fight_effect_MP",0.108053768315904,-822.447687381417
"amount_of_samples_MP",0.00602814807951539,-45.8830499339506
"costs_per_sample_MP",0.0163270324259263,124.272667855935
"savings_due_to_MP",0.0383357848687204,-291.79155989315
"costs_monitoring_plan_per_ha",0.0177182177785871,134.861629202194
