"","VIP","Coefficient"
"discount_rate",0.0402173677306653,291.576127985081
"infection_risk",1.0146093297915,-7355.92298778356
"plants_per_ha",0.934091559871841,6772.16873155291
"fungus_probability_N",0.0219595034815171,-159.20651596334
"fungus_probability_R",0.878774857125671,-6371.12234513484
"disease_expansion_factor_N",0.0170649232459144,123.720783461728
"disease_expansion_factor_R",0.0744500997392184,-539.763615446976
"detection_factor_N",0.0732519780181811,-531.077226655586
"detection_factor_R",0.477521465206921,-3462.03313919605
"fungus_fight_effect_N",0.0477067864062027,345.874452850518
"fungus_fight_effect_R",0.474865019419969,3442.77389324169
"var_CV",0.00770688975787727,-55.8749913584303
"number_yearly_prophy_application_N",0.0596355253064167,-432.357872739219
"number_yearly_prophy_application_R",0.805696408861317,5841.30321010897
"effect_no_prophy_application",0.182918678597576,1326.16138377852
"effect_one_prophy_application",0.159121271374112,1153.63005600067
"effect_two_prophy_application",0.129750138807509,940.689190112609
"effect_three_prophy_application",0.113027078282929,819.446913182102
"effect_four_prophy_application",0.00135911923415522,9.85362160992111
"effect_five_prophy_application",0.00616388707349136,-44.6882137653064
"effect_six_prophy_application",0.0968520255034318,-702.177695291344
"effect_seven_prophy_application",0.0061005539761146,-44.2290484755718
"effect_eight_prophy_application",0.0852830758650008,-618.30274944659
"value_of_saleable_Calluna",4.82749770047894,34999.3837684526
"chance_higher_price_sustainable",0.269437811122941,1953.42555052654
"price_premium_sustainable",0.28193448765005,2044.02652120315
"value_not_saleable_Calluna",0.0033194117615963,-24.0657527642319
"value_sorted_out_Calluna",0.0207296793133023,-150.290284262847
"value_of_one_new_plant",1.32941476303797,-9638.26403778427
"fertilizer_adjustment",0.0263992083463902,191.394399630057
"costs_normal_fertilizer",0.439065456616438,-3183.22687425931
"costs_staff",3.87814090398163,-28116.5419909202
"costs_more_staff",0.113411146305685,-822.231408371045
"threshold_big_area_more_staff",0.727605045405976,5275.14041353135
"costs_monitoring_per_ha_month",0.202435399029049,-1467.65770975605
"additional_costs_more_monitoring_per_ha",0.0937001552246586,679.326619160491
"yearly_costs_of_direct_fungus_fight_N",0.0258227342593458,-187.214959461078
"yearly_costs_of_direct_fungus_fight_R",0.159587653216971,-1157.01132681914
"cost_one_prophy_application",0.0978644842739966,-709.518026713401
"detection_factor_MP",0.0829060839867778,-601.069545803185
"fungus_fight_effect_MP",0.0490769823598454,-355.808380735095
"amount_of_samples_MP",0.000622180844666426,4.51081440260444
"costs_per_sample_MP",0.030567806106925,-221.616755361639
"savings_due_to_MP",0.00671139040264268,48.6576157868903
"costs_monitoring_plan_per_ha",0.0524858179362599,-380.522456628005
