"","VIP","Coefficient"
"discount_rate",0.0837748571559965,659.102191167307
"infection_risk",0.32137907470208,-2528.46330656262
"plants_per_ha",1.07376197676415,8447.86724445918
"fungus_probability_N",0.203950721696003,-1604.59082979609
"fungus_probability_R",0.0334451414116999,-263.131048344306
"disease_expansion_factor_N",0.0364471975740842,-286.74985071302
"disease_expansion_factor_R",0.00994574462990046,78.2485616913839
"detection_factor_N",0.0558932876013248,-439.742777012192
"detection_factor_R",0.052564609461492,413.55426258036
"fungus_fight_effect_N",0.0222279586596412,-174.879394070052
"fungus_fight_effect_R",0.0922371294210837,725.67947200692
"var_CV",0.0776285255609501,610.745670375006
"number_yearly_prophy_application_N",0.448974414105462,3532.32497387536
"number_yearly_prophy_application_R",0.0492793848370405,-387.707620497512
"effect_no_prophy_application",0.067814982657687,533.537211295084
"effect_one_prophy_application",0.00382683177907427,30.1077590155699
"effect_two_prophy_application",0.0156202034937931,122.892604043089
"effect_three_prophy_application",0.114897673570236,903.962250501403
"effect_four_prophy_application",0.00589944044310398,-46.4140943322699
"effect_five_prophy_application",0.0848023260952225,667.185846003496
"effect_six_prophy_application",0.115961244598598,-912.329940033246
"effect_seven_prophy_application",0.183216430357213,-1441.46292582067
"effect_eight_prophy_application",0.0559459535658957,440.157128690333
"value_of_saleable_Calluna",5.15943535948063,40592.0733984367
"chance_higher_price_sustainable",0.00645712558649411,-50.8017055138138
"price_premium_sustainable",0.0715383261016266,562.8307715073
"value_not_saleable_Calluna",0.0294889993987107,232.005935657157
"value_sorted_out_Calluna",0.0557334301703414,-438.485091990547
"value_of_one_new_plant",1.20028623943838,-9443.30217082533
"fertilizer_adjustment",0.087873527988862,691.348655303734
"costs_normal_fertilizer",0.389533821521166,-3064.67362660251
"costs_staff",3.58017591136117,-28167.1836640506
"costs_more_staff",0.139928026431298,-1100.88959811474
"threshold_big_area_more_staff",0.6978805950957,5490.60475918454
"costs_monitoring_per_ha_month",0.0434014535559335,341.462750396516
"additional_costs_more_monitoring_per_ha",0.00155558918733454,-12.2386629680451
"yearly_costs_of_direct_fungus_fight_N",0.109586694561333,-862.177901105341
"yearly_costs_of_direct_fungus_fight_R",0.0428619340106953,337.218057817907
"cost_one_prophy_application",0.216901985362764,-1706.48543816591
"detection_factor_MP",0.278341068099893,-2189.85999026984
"fungus_fight_effect_MP",0.0895257804604449,704.34782070194
"amount_of_samples_MP",0.297414209963997,-2339.91873130317
"costs_per_sample_MP",0.0729612517301594,-574.025698380022
"savings_due_to_MP",1.11215482249764,8749.92456341072
"costs_monitoring_plan_per_ha",0.599978005196431,-4720.35204000168
